Judul,Link,Tahun,Penulis,Publikasi
PENDUGAAN SELANG KEPERCAYAAN BOOTSTRAP BAGI ARAH RATA-RATA DATA SIRKULAR (Bootstrap Confidence Interval Estimation of Mean Direction for Circular Data),https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:qjMakFHDy7sC,2012,"C Suhaeni, IM Sumertajaya, A Djuraidah","Forum Statistika dan Komputasi 17 (2), 2012"
MODEL REGRESI BINOMIAL NEGATIF TERBOBOTI GEOGRAFIS UNTUK DATA KEMATIAN BAYI (Studi Kasus 38 Kabupaten/Kota di Jawa Timur)(Geographically Weighted Negative Binomial Regression …,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:J_g5lzvAfSwC,2012,"LE Afri, A Djuraidah","Forum Statistika dan Komputasi 17 (2), 2012"
Analisis Risiko Operasional Bank XXX dengan Metode Teori Nilai Ekstrim,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:iH-uZ7U-co4C,2011,"A Djuraidah, P Silvianti, A Yaman","Statistika 11 (2), 2011"
Pewilayahan Curah Hujan Di Kabupaten Indramayu Dengan Metode Gerombol (Berdasarkan Data Median Tahun 1980–2000),https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:bEWYMUwI8FkC,2011,"DRS Saputro, AA Mattjik, R Boer, AH Wigena, A Djuraidah","Universitas Negeri Yogyakarta, Yogyakarta, 2011"
Model spasial Bayes dalam pendugaan area kecil dengan peubah respon biner (kasus: pendugaan proporsi keluarga miskin di Kabupaten Jember Jawa Timur),https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:j3f4tGmQtD8C,2011,E Sunandi,"IPB University, 2011"
Analisis Geographically Weighted Regression (GWR) dengan Pembobot Kernel Gaussian untuk Data Kemiskinan,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:O3NaXMp0MMsC,2011,"R Rahmawati, A Djuraidah","Prosiding Seminar Nasional Statistika Universitas Diponegoro, 326-322, 2011"
penduga data tidak lengkap curah hujan di kabupaten indramayu (berdasarkan data tahun 1980-2000),https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:MLfJN-KU85MC,2011,"D Saputro, AA Mattjik, R Boer, AH Wigena, A Djuraidah","Prosiding Seminar Nasional Statistika Universita Diponegoro 2011, 1-13, 2011"
Model Regresi Poisson dan Model Spasial Otoregresif Poisson untuk Mendeteksi Faktor-Faktor yang Berpengaruh terhadap Jumlah Penderita Gizi Buruk di Provinsi Jawa Timur,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:NJ774b8OgUMC,2011,"SR Rohimah, M Nuraidi, A Djuraidah","E-Prosiding Seminar Nasional Statistika| Departemen Statistika FMIPA …, 2011"
MODEL VEKTOR AUTOREGRESSIVE UNTUK PERAMALAN CURAH HUJAN DI INDRAMAYU (Vector Autoregressive Model for Forecast Rainfall In Indramayu),https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:W7OEmFMy1HYC,2011,"DRS Saputro, AH Wigena, A Djuraidah","Forum Statistika dan Komputasi 16 (2), 2011"
PENDUGAAN DATA TIDAK LENGKAP CURAH HUJAN DI KABUPATEN INDRAMAYU DENGAN KRIGING & RATA-RATA BERGERAK (MOVING AVERAGE)(BERDASARKAN DATA TAHUN 1980 â 2000),https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:-f6ydRqryjwC,2011,"DRS Saputro, AA Mattjik, R Boer, AH Wigena, A Djuraidah","Prosiding Seminar Nasional Statistika Universitas Diponegoro 2011, 171-182, 2011"
"Penggunaan Geographically Weighted Regression (GWR) dengan Pembobot Gauss Kernel untuk Klasifikasi Desa Miskin (Studi Kasus Desa-desa di Kabupaten Jember, Jawa Timur)",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:UeHWp8X0CEIC,2010,"R Rahmawati, A Djuraidah, MN Aidi","Prosiding Seminar Nasional Matematika 5, 43-48, 2010"
Regresi Terboboti Geografis dengan Pembobot Kernel Kuadrat Ganda untuk Data Kemiskinan di Kabupaten Jember,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:L8Ckcad2t8MC,2010,"R Rahmawati, A Djuraidah","Forum Statistika dan Komputasi 15 (2), 2010"
"Based on the six indicators provided by the State Ministry for Acceleration Development Backward Regions, the backward regions were clustered into 4 groups: fairly backward …",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:M3NEmzRMIkIC,2010,"T Agustin, A Djuraidah","Forum Statistika dan Komputasi 15 (1), 2010"
Penggerombolan daerah tertinggal di indonesia dengan fuzzy k-rataan,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:eJXPG6dFmWUC,2010,"T Agustin, A Djuraidah, JEIIS Thaha, S Jambi","Forum Stat. dan Komputasi 15 (1), 22-27, 2010"
Aplikasi model kalibrasi di bidang kimia adalah pemodelan hubungan antara kandungan senyawa aktif yang ditentukan dari High Performance Liquid Chromatography (HPLC) dengan …,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:_Qo2XoVZTnwC,2009,"AH Wigena, A Djuraidah","Forum Statistika dan Komputasi 14 (1), 2009"
Pendugaan Regesi Semiparametrik Dengan Pendekatan Model Campuran Linear,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:LkGwnXOMwfcC,2009,A Djuraidah,"Forum Statistika dan Komputasi 14 (2), 2009"
Pendekatan regresi kuadrat terkecil partial robust dalam model kalibrasi,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:AXPGKjj_ei8C,2009,DS FMIPA-IPB,"Forum Statistika dan Komputasi, 34-41, 2009"
Indeks kerentanan sosial ekonomi untuk bencana alam di wilayah Indonesia,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:GnPB-g6toBAC,2009,"A Djuraidah, DS FMIPA-IPB","Seminar Nasional Matematika Dan Pendidikan Matematika, 978-979, 2009"
Regresi Kuantil untuk Eksplorasi Pola Curah Hujan di Kabupaten Indramayu Regression for Exploring Rainfall Pattern in Indramayu Regency,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:zYLM7Y9cAGgC,2009,"A Djuraidah, AH Wigena","J. Ilmu dasar 12, 50-56, 2009"
Evaluasi status ketertinggalan daerah dengan analisis diskriminan,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:PELIpwtuRlgC,2009,A Djuraidah,"FMIPA Jurusan Pendidikan Matematika UN Yogyakarta, 2009"
Penggunaan Jaringan Syaraf Tiruan Untuk Pendugaan Model Linear Terampat Dengan Koefisien Keragaman Konstan,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:qxL8FJ1GzNcC,2008,A Djuraidah,"Forum Statistika dan Komputasi 13 (1), 2008"
Keunggulan Pendugaan Model Aditif dengan Pendekatan Model Linear Campuran Dibanding dengan Algoritma Backfitting,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:blknAaTinKkC,2008,A Djuraidah,"Statistika 8 (1), 2008"
Pendugaan Parameter Regresi Logistik Dengan Jaringan Syaraf Tiruan,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:mVmsd5A6BfQC,2007,A Djuraidah,"PYTHAGORAS: Jurnal Matematika dan Pendidikan Matematika 3 (1), 51-62, 2007"
Model Aditif Spatio Temporal untuk Pencemar Udara PM10 dan Ozon di Kota Surabaya dengan Pendekatan Model Linear Campuran,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:NMxIlDl6LWMC,2007,A Djuraidah,"IPB (Bogor Agricultural University), 2007"
Pendugaan Regresi Spline Terpenalti dengan Pendekatan Model Linear Campuran,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:hC7cP41nSMkC,2006,"A Djuraidah, A Aunuddin","Statistika 6 (1), 2006"
Optimasi Penentuan Lokasi Stasiun Pemantau Kualitas Udara Ambien Di Kota Surabaya,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:0EnyYjriUFMC,2006,A Djuraidah,"Forum Statistika dan Komputasi 11 (2), 2006"
Penerapan Model Nonlinear Pls Dengan Jaringan Sy Araf Tiruan Dalam Kalibrasi,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:hMod-77fHWUC,2003,A Djuraidah,"Jurusan Matematika FMIP A Universitas]'legeri Jakarta, 2003"
sejarah perkembangan statistika dan aplikasinya,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:r0BpntZqJG4C,2003,"S Sunaryo, S Setiawan, A Djuraidah, A Saefuddin","Forum Statistika Dan Komputasi 8 (1), 2003"
Simulasi analisis gerombol dengan pendekatan penguraian sebaran campuran normal ganda pada data MSS LANDSAT,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:7PzlFSSx8tAC,1991,A Djuraidah,"IPB (Bogor Agricultural University), 1991"
Analisis Diskriminan Kernel Untuk Pengelompokkan Warna,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:BwyfMAYsbu0C,,A Djuraidah,"Forum Statistika dan Komputasi, 0"
Pewilayahan Curah Hujan Di Kabupaten Indramayu Dengan Metode Gerombol (Berdasarkan Data Median Tahun 1980-2000),https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:vbGhcppDl1QC,,A Djuraidah,"FMIPA UN Yogyakarta, 0"
Pendugaan Model Aditif untuk Data Deret Waktu dengan Pendekatan Model Linear Campuran,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:p__nRnzSRKYC,,A Djuraidah,"Fakultas Matematika dan llmu Pengetahuan Alam Institut Teknologi Sepuluh …, 0"
Estimation of Spatio-Temporal Additive Model Using Mixed Model Approach with Application to Ozone Data in Surabaya City,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:ML0RJ9NH7IQC,,A Djuraidah,"Moslem Statisticians and Mathematicians Society in South East Asia (MSMSSEA), 0"
Pemodelan Conditional Autoregressive dengan Matriks Pembobot Ketetanggaan sampai Orde Dua (Studi Kasus: Penyakit Malaria di Papua).,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:EYYDruWGBe4C,,"MN Aidi, A Djuraidah","Bogor Agricultural University (IPB), 0"
Pemodelan Autoregresif Spasial Menggunakan Bayesian Model Averaging untuk Data PDRB Jawa,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:4MWp96NkSFoC,,"A Djuraidah, AH Wigena",N/A
Regresi Kuantil Spline Untuk Pemodelan Nilai Ekstrem Pada Pencemar Udara Pm10 Di Kota Surabaya,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:TQgYirikUcIC,,A Djuraidah,"Institut Teknologi Sepuluh Nopember, 0"
Bayesian Geographically Weighted Regression Model for Poverty Data (Case of 35 Villages in Jember Regency).,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:Z5m8FVwuT1cC,,"AH Wigena, A Djuraidah",N/A
Kriging Dan Thin-Plate Spline Dengan Pendeka Tan Model Linear Campuran,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:BUYA1_V_uYcC,,A Djuraidah,"Jurnal Matematika Integratif, 0"
Simulation Study for Comparison of Maximum Likelihood and Bayesian Method in Spatial Autoregressive Models with Heteroskedasticity,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:AvfA0Oy_GE0C,,"F Ramadhini, A Djuraidah, AH Wigena",N/A
Identifikasi Gugus Fungsi Terhadap Aktivitas Antioksidan Kandungan Sembung Menggunakan Regresi Lasso dan Group Lasso,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:ILKRHgRFtOwC,,"FM Afendi, A Djuraidah","IPB University, 0"
Pendekatan Geographically Weighted Zero Inflated Poisson Regression (Gwzipr) dengan Pembobot Fixed Bisquare Kernel pada Kasus Difteri di Indonesia,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:5Ul4iDaHHb8C,,"I Ismah, IM Sumertajaya, A Djuraidah, A Fitrianto","Barekeng 14 (1), 39-46, 0"
Estimation of Linear Regression Models with L1 Penalty (LASSO) using Iterative Approach and Its Implementation on Statistical Downscaling Models,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:isC4tDSrTZIC,,"AM Soleh, A Salim, AH Wigena, A Saefuddin, A Djuraidah",N/A
Pendugaan Data Tidak Lengkap Curah Hujan Di Kabupaten Indramayu Dengan Kringing & Rata-rata Bergerak (Moving Average) Berdasarkan Data Tahun 1980-2000,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:L7CI7m0gUJcC,,A Djuraidah,"FMIPA Program Studi Statistika UNDIP, 0"
Geographically and Temporally Weighted Autoregressive to Modeling the Levels of Poverty Population in Java in,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:M7yex6snE4oC,,"H Djalihu, A Djuraidah, AM Soleh",N/A
Regression for Exploring Rainfall Pallem in Indramayu Regency,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:hMsQuOkrut0C,,"A Djuraidah, AH Wigena","Fakultas Matematika dan limu Pengetahuan Alam, Universitas Jember, 0"
Extreme Rainfall Prediction Using Bayesian Binary Quantile Regression,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:gsN89kCJA0AC,,"PM Fadilah, AH Wigena, A Djuraidah",N/A
Pemisahan model campuran normalganda homoskedastik dengan menggunakan metode kemungkinan maksimum,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:lmc2jWPfTJgC,,"A Rambe, A Djuraidah","IPB University, 0"
Analisis Gerombol Untuk Menyeleksi Galur Jagung (Zea mays L.) Hibrida Hasil Silang Puncak,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:VaXvl8Fpj5cC,,A Djuraidah,"IPB University, 0"
"Suatu tinjauan pengendalian mutu statistis pada karakteristik mutu benih padi di perum sang hyang seri, Sukamandi Subang Jawa Barat",https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:k8Z6L05lTy4C,,"KMU Hasibuan, A Djuraidah","IPB University, 0"
Statistical Downscaling Using Kernel Quantile Regression to Predict Extreme Rainfall,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:LPZeul_q3PIC,,"AE Mulyati, AH Wigena, A Djuraidah",N/A
STACKING ENSEMBLE APPROACH IN STATISTICAL DOWNSCALING USING CMIP6-DCPP FOR RAINFALL ESTIMATION IN RIAU,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:PoWvk5oyLR8C,,"D Al Mahkya, A Djuraidah, AH Wigena, B Sartono","MEDIA STATISTIKA 17 (1), 1-12, 0"
PROFILE ANALYSIS OF UNMET NEED FOR FAMILY PLANNING INDICATORS USING SDKI AND SUSENAS DATA.,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:xtoqd-5pKcoC,,"DN Agustina, A Kurnia, A Djuraidah",N/A
Faktor-Faktor yang Memengaruhi Prevalensi Stunting di Indonesia Menggunakan Geographically Weighted Regression Lasso,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:HbR8gkJAVGIC,,"A Djuraidah, GA Dito","IPB University, 0"
Analisis Data Produk Domestik Regional Bruto Pulau Jawa Menggunakan Pendekatan Regresi Kuantil Spasial,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&cstart=100&pagesize=100&citation_for_view=fN-LWBEAAAAJ:q3CdL3IzO_QC,,"A Saefuddin, A Djuraidah",N/A
Aunuddin (2006). Pendugaan Regresi Spline Terpenalti dengan Pendekatan Model Linear Campuran,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:K3LRdlH-MEoC,,A Djuraidah,"Statistika 6 (1), 47-54, 0"
Aunuddin. 2006. Kriging pada thin-plate spline dengan pendekatan model campuran,https://scholar.google.com/citations?view_op=view_citation&hl=id&user=fN-LWBEAAAAJ&pagesize=100&citation_for_view=fN-LWBEAAAAJ:tS2w5q8j5-wC,,A Djuraidah,"Jurnal Matematika Integratif 5 (2), 1-12, 0"
